engine,fold,train_end,horizon_start,horizon_end,mae,rmse,mape,coverage_80,mean_interval_width,n
prophet_weather,1,2010-11-30,2010-12-01,2010-12-28,9611.756893719577,13155.793512318583,42.476924682542595,0.7142857142857143,27913.787592298588,28
prophet_weather,2,2010-12-28,2010-12-29,2011-01-25,8855.170817262615,14925.5856941841,58.85645410233542,0.9285714285714286,27470.72244587458,28
prophet_weather,3,2011-01-25,2011-01-26,2011-02-22,4809.21288731927,5530.89295750578,68.19663647143024,1.0,28536.387957047813,28
prophet_weather,4,2011-02-22,2011-02-23,2011-03-22,5311.96268779291,6394.702240156343,65.43963000905345,1.0,27946.93266216742,28
prophet_weather,5,2011-03-22,2011-03-23,2011-04-19,4618.104893807551,5770.691484830757,37.04359997467665,0.9642857142857143,27046.376688565302,28
prophet_weather,6,2011-04-19,2011-04-20,2011-05-17,5956.765947968436,8120.833750268282,32.900897035352415,0.8571428571428571,26507.898090524668,28
prophet_weather,7,2011-05-17,2011-05-18,2011-06-14,4075.0113201600243,5302.690573269852,31.7628780556669,0.9642857142857143,26054.54020470048,28
prophet_weather,8,2011-06-14,2011-06-15,2011-07-12,3325.153895792752,4421.010623160371,27.1761584558023,0.9642857142857143,25882.69586425207,28
prophet_weather,9,2011-07-12,2011-07-13,2011-08-09,4866.003917035994,7334.879577094886,30.173784863083792,0.8214285714285714,25246.97782098655,28
prophet_weather,10,2011-08-09,2011-08-10,2011-09-06,7044.194521411781,8243.102149061027,55.70736695666126,0.8571428571428571,24915.34088061997,28
prophet_weather,11,2011-09-06,2011-09-07,2011-10-04,6292.515355467281,7950.554331897536,31.77596371845482,0.8571428571428571,24606.388660241348,28
prophet_weather,12,2011-10-04,2011-10-05,2011-11-01,6080.766539541752,7271.465614300698,29.931718594443442,0.9285714285714286,24443.53586097447,28
prophet_weather,13,2011-11-01,2011-11-02,2011-11-29,6912.909657005912,8394.214870099493,23.705649036200708,0.8571428571428571,24415.4615920764,28
prophet_calendar_only,1,2010-11-30,2010-12-01,2010-12-28,9550.58788193856,12935.901442711529,41.04597710156919,0.75,27882.865525351684,28
prophet_calendar_only,2,2010-12-28,2010-12-29,2011-01-25,8741.616975788214,13943.590320647643,64.16445685630585,0.9642857142857143,27864.945005782887,28
prophet_calendar_only,3,2011-01-25,2011-01-26,2011-02-22,5042.273851865982,5831.425198920549,75.37700885705875,1.0,28444.003744292928,28
prophet_calendar_only,4,2011-02-22,2011-02-23,2011-03-22,5511.9836394954855,6579.194678900304,68.81713638549427,1.0,27753.235455474194,28
prophet_calendar_only,5,2011-03-22,2011-03-23,2011-04-19,4422.67466973299,5599.277349408988,35.52017102507388,0.9642857142857143,27168.077869034958,28
prophet_calendar_only,6,2011-04-19,2011-04-20,2011-05-17,5774.702826374002,8239.539652780255,32.1407482791441,0.8571428571428571,26484.927467334517,28
prophet_calendar_only,7,2011-05-17,2011-05-18,2011-06-14,4051.302393752144,5248.112538929832,30.51641342807517,0.9642857142857143,26191.840497467034,28
prophet_calendar_only,8,2011-06-14,2011-06-15,2011-07-12,3335.653596215088,4531.457979473427,24.997094319623734,0.9642857142857143,25669.012188511035,28
prophet_calendar_only,9,2011-07-12,2011-07-13,2011-08-09,4993.710281671495,7306.550940272477,30.54142842522617,0.8214285714285714,25321.428749918367,28
